제목,가수,가사
선 (Feat. oceanfromtheblue),"오도마 (O'Domar), 주니 (JOONIE)","점들이 줄 지어서
선으로 쭉 그려져
난 그 줄 위에서
Trip trip trippin’ trippin’
 
We all falling in the same trap
Brick by brick
I’m gonna break this line
내게 선한 영향력 주었던 롤모델에게
느낀 모든 전율 담은 이 노래는 노벨
내 랩이 너의 고개를 끄덕이게 할 소재는
박자만이 아닌 삶을 달릴 힘 Propel
 
근데 It ain't new, ain't cool
예술병에 찌든 노잼, No groove
정도로 치부하고 흉터로 남을 말인데도
비판이니 듣고 발전하래 멋과 외모
 
일이 잘 될 땐 악플도 Credit
안돼도 Edit 따윈 없으니 쟁취
이제 다 뱉지, 꺼내지 못해 맺힌
외침, 보란 듯이 완주할게 행진
 
Rap shit, 여기에 바쳤지 내 이십 대 전부
내가 쫓았던 건 한철 유행 아닌 영구
혐오가 만연한 시대에 필요한 건 변주
선 긋기 전에 너도 보여줘 너의 전부를
We’ve been on this for awhile lately
날 다 보여주면 Won’t they hate me?
Don’t know 이게 무슨 소용인지
생각해 봐도 난 너완 너무 달라
 
We’ve been on this for awhile lately
보여줄게 Pls don’t hate me
Don’t know 이게 무슨 소용인지
있는 대로 Accept me for who I am
서툴고 어색한
선들로 칠해진 나는 어때
아무리 칠하려 해봐도
남아있는 건
 
It feels like my own way
Own way
Own way
There’s no right or wrong
Just know we’re different kinds
We wanna stay strong accept with open minds
Please don’t cross my line 우린 선은 지키자
Have to pay the fine 제발 선을 넘지 마
 
맞고 틀린 걸 왜 따져, 내 기준인데
우린 쉽게 따져 자신보다 남 인생
상처받기 싫어서, This is what I’ll do
그래 난 선을 그을 수 밖에 없을 뿐
 
Afterall, it’s all grey
Between lines that are made
It’s not wrong to switch lanes
과정일 뿐인데
과정일 뿐이기에, 포기 말고 시도해
먼저 손 내밀 테니
I wish y’all could understand
Afterall, it's all grey
Between lines that are made
It's not wrong to switch lanes
과정일 뿐이기에
과정일 뿐인데, 왜 시도 않고 포기해
먼저 손 내밀 테니
It's time to give me y'all hand
서툴고 어색한
선들로 칠해진 나는 어때
아무리 칠하려 해봐도
남아있는 건
 
It feels like my own way
Own way
Own way
늘 한 뼘만 더 넘어가면
닿을 것만 같지, 환호받는 장면
어찌저찌 그 문턱까지는
가 본 것 같은데 항상 아쉬움만 짙게 남기며 좌절
 
줄곧 믿어온 과정 점점 안 믿겨져
외면 속에 배운 건 가면 쓰고 아닌 척
안 일어나는 반전에 포기할까 하다
나름 잘한 성과란 함정에 매번 빠져
 
만든 작품은 명작 평가와 달리 정작
여기에서 더 나아갈 수 없을 것만 같이
쌓은 가치를 잃어갔고 또 헤메이는 과오를
지워내기 위해 되새겼지 첫 다짐과 각오
 
사랑받을 수 없고, 닿을 수 없는 성공이
날 이끌던 게 아냐 선명한 한계점도
내가 만든 거니 선 그어진 모든 것 위에
다시 걷지, 타인의 기준이 아닌
나를 위해 서
서툴고 어색한
선들로 칠해진 나는 어때
아무리 칠하려 해봐도
남아있는 건
 
It feels like my own way
Own way
Own way
Personal space is always needed 나의 경계선
똑같지 내 손바닥에 그려진 명예선
Society changing, People invading,
Personal space and 그렇게 매일 멀어졌네
 
쟤는 저렇고 얘는 이렇대
나와는 다르다고 서로를 밀어내
We don’t even need a fight
다들 지키는 방법이 다를 뿐
Let’s just open up
I’ll show you mine"
그래야해,365LIT,"나 울었어
기지배처럼
나 살고 싶어서
나 살고 싶었어
살고 싶었던
넌 알까
약에 취해 눈이 풀린 널 보는 나를
다짐했어 꼭 그 **보다 더 많은
집에 가면 보살펴야 돼 우리 엄마를
보다 더 많은
그 **보다 더 많은 돈을 벌어야 해
형과 엄마를 위해 나 일어나야 해
빌어먹을 상처를 그만 받아야만 해
그래야해
그래야 해
그래야 해
그래야 해
그래야만 해
나 울었어
어린애처럼
안기고 싶어서
안기고 싶었어
안기고 싶었던
넌 알까
점점 미쳐가는 널 보는 나를
떼어내야 해 너의 곁에 모든 악마들
더 이상 잃을 수 없어 나의 사람들
그 **보다 더 많은 돈을 벌어야 해
형과 엄마를 위해 나 일어나야 해
빌어먹을 상처를 그만 받아야만 해
그래야 해
그래야 해
그래야 해
그래야 해
그래야만 해"
Huh !,수퍼비 (SUPERBEE),"난 이 게임이 쉬워 Easy As Pie 식은 죽 먹기
차렷 열중쉬어 챙겨 내 Pay 빠진 거 없이
I’m Back M******* Ain’t No Lie
내 빈집 털었지 너 말야 그래 이놈아
거 싹 다 내어와 한 푼도 남김없이
모발 이식해서 나는 진짜 앞뒤 없지
Like Yo B**** Nas가 말하길 Life’s A B****
그럼 난 갑부년 같은 Type의 S***
야생 Tarzan 너흰 사무실
I’m Outside 제인을 찾아 Ahh S*** Uh
Haters Suck Your **** And Lick Your Mama Boobs
몇 년을 Topic 간지가 어째 음악을 못한다는 둥
답변은 Do You Whatever 누구든 돈 있으면 쿨해져
**아 왜 내가 Tryna Prove
내 전 여친들 보면 상상* 칠 놈들
피래미들 욕하네 용 상팔자
Thank God All These Money &amp; Hate
편식 안 하고 먹지
억지도 억지로 삼켜 ** 어
Huh Huh Huh
난 이 게임이 쉬워 Easy As Pie 식은 죽 먹기
Huh Huh Huh
차렷 열중쉬어 챙겨 내 Pay 빠진 거 없이
Huh Huh Huh
추는 어깨춤 오늘 내 Score 신기록 경신
Huh Huh Huh
어찌 I F*** With You 너넨 ** 차려 정신
No Rolex No Diamonds No More Designer
암것도 안 차고 Nike-T 한 장으로 I Judo
니 빌린 차와 빌린 Watches 빌린 거 차고 왜 욕하노 Idol
나도 갖고 있지만 또 *도 아닌 거더라고
이 게임에 찐친 없지 여사친 없지
Devil On My Mind 얘넬 어떻게 해야지 다 따먹
Oh 수퍼비 Plz Plz 해도 계속 S*** On Ya
강강약강 내 Style 건들면 디여요
귀여운 상어송 부르던 애는 Young Anna
오래 할 생각 없어 커리어 지금 5회 말
쫌내 나 꼰티 나네 OG 호소인네들
내일 퇴물임 은퇴는 끝나 있어 그저께 난
내가 죽을 줄 알았니 나는 Zombie
Kiss My F****** Ring 난 왕 침방울 Toxic
Flow는 Tsunami 너흰 종이배쯤
테무산 랩들 사이 내 쉬운 줄넘기
Huh Huh Huh
난 이 게임이 쉬워 Easy As Pie 식은 죽 먹기
Huh Huh Huh
차렷 열중쉬어 챙겨 내 Pay 빠진 거 없이
Huh Huh Huh
추는 어깨춤 오늘 내 Score 신기록 경신
Huh Huh Huh
어찌 I F*** With You 너넨 ** 차려 정신"
"부쉐론 (feat. YOON SU, Coogie)",수퍼비 (SUPERBEE),"I love nobody baby don’t go far away
널 지울래도 흔적이 내 머리에
Without you 가지도 못해 party엔
널 닮은 여자나 찾겠지 난 또 oh yeah
아무것도 몰라 넌 내 love u dumb
다른 여자 줄 거야 너의 그 부쉐론 반지도
나 같은 새끼도 없어 girl you’re wasted
끼워줬잖아 천만원 하는 부쉐론 반지도
This song is the last song for you 어쩜 걘 기뻐할지도
참 사랑했던 애 like 벡터맨처럼 이미 나 기억 저편에 
잊혀졌을지도 I don’t know but 마음먹었어
나도 널 까먹을 거야 good bye my old lover ay
Can’t believe 내가 이별 노래를 쓰다니 세상에 이런 일이
1300짜리 부쉐론 ring 본의는 아니었던 디자인 missed
모양이 달랐더라면 달랐을까 how do you think?
난 차라리 그쪽이 편한 마음 same story same scene
일지라도 넌 가는 길을 까먹은 내 엘도라도
돌아가고파도 그냥 포기해 볼라고
노래를 만든 것도 건강해 잘 지내라고
그 말 DM보단 랩이 낫지 않나 싶더라고
I loved you so much nah
I loved you too much right?
진짜 bye 할 시간 셀 수 없어 a thousand nights
I’m letting you go can finally go
Hook 신경 안 써도 돼
Baby take my blessing and go
I love nobody baby don’t go far away
널 지울래도 흔적이 내 머리에
Without you 가지도 못해 party엔
널 닮은 여자나 찾겠지 난 또 oh yeah
아무것도 몰라 넌 내 love u dumb
다른 여자 줄 거야 너의 그 부쉐론 반지도
나 같은 새끼도 없어 girl you’re wasted
끼워줬잖아 천만원 하는 부쉐론 반지도
You took my heart my love
다 가져가고서는
내겐 허한 감정만 남기고 떠나려 해
괜찮아 I don’t care
딴 데 갈아타도 돼
근데 알아둬 하나만
걔넨 나처럼 못해
Asia Europe everywhere
공연하러 Tokyo에
저 여자들 날 보다가 되어버리지 내 fan
더는 받을 수 없겠지 내가 해줬던 것들을
돌아보고 다시 와 또 보겠냐고 이런 놈을
또 새로운 Chrome belt 내 허리에
F&amp;F Nike shoes 내 다리에
다 줄 수 있는데 왜 가려 해
어차피 돌아올 게 뻔해
I love nobody baby don’t go far away
널 지울래도 흔적이 내 머리에
Without you 가지도 못해 party엔
널 닮은 여자나 찾겠지 난 또 oh yeah
아무것도 몰라 넌 내 love u dumb
다른 여자 줄 거야 너의 그 부쉐론 반지도
나 같은 새끼도 없어 girl you’re wasted
끼워줬잖아 천만원 하는 부쉐론 반지도"
올라 (prod. GENRE (장르)),돕도지 (dopedozy),"올라 난 그냥 올라가
i go. watch out 부딪혀
나를 피해가 다 물어 끊임없이 올라가 난 야야
그때 네가 내게 줄건 쉬워 hola hola hola hola
내 이름 dope dozy. make the stage 항상 winner like 이순신
fuck it 목에 걸린 이름표는 Goldie. can you see me?
미쳤다고 생각해 나도 그래
fake man 절로 꺼져 내가 왜 늬들 말을 생각해
잡소리엔 Buddha 같은 mind 
물론 내 것들에게는 주지 love &amp; peace. prove mind.
108번뇌 깨고 30 됐고 dirty 한 과거 재껴두고 깨버리는 편견이 폭력이야 what?
내 감성을 가리는 무식이, 가식이 판치는 판이 싫어 나와보니
라면으로 끼닐 때워
때 묻은 키보드 케케묵은 냄새 풍기는 마이크 터져 버리게 난 다시 또 뱉어
I‘m on ma, on ma mic 담엔 burning checker
난 어른 병에 걸렸나 봐 듣기 싫음 됐어.
어차피 난 재미없는 인생 얘길 떠들고
넌 상관없이 느낀 것을 그대로 포장해
올라 난 그냥 올라가
i go. watch out 부딪혀
나를 피해가 다 물어 끊임없이 올라가 난 야야
그때 네가 내게 줄건 쉬워 hola hola hola hola
올라 난 그냥 올라가
i go. watch out 부딪혀
나를 피해가 다 물어 끊임없이 올라가 난 야야
그때 네가 내게 줄건 쉬워 hola hola hola hola
So I'm dope dozy 미친 새끼 monster monkey
we got too many money 뽑고 swagging 담엔 burn it
야 날 소개하면 폐급재능 서른네 살에 170키 fuck the 랩저능아
꿈만 꾸는 새끼에 갖춘 것은 무능함
그걸 누구보다 알기에 나는 불가능함
yeah i know that fucking worth
애초에 다른 애들 신경 썼음 안 했어.
딕션을 신경 쓰는 내게 요즘 힙합 꺼내 들고
해달라고 mumble mumble mumble ay
걔들은 힙합이 뭔지 모르니까 그냥 웃고 나서
전부 싹 다 얼음
비틀어진 내 머릿속에
남은 게 뭔지 말하자면 딱 over
노력하고 그만큼만 존심 챙기니까
내 걱정은 말고 so you just shut the fuck off
올라 난 그냥 올라가
i go. watch out 부딪혀
나를 피해가 다 물어 끊임없이 올라가 난 야야
그때 네가 내게 줄건 쉬워 hola hola hola hola
올라 난 그냥 올라가
i go. watch out 부딪혀
나를 피해가 다 물어 끊임없이 올라가 난 야야
그때 네가 내게 줄건 쉬워 hola hola hola hola"
No easy,ZENE THE ZILLA,"인생이 쉽지 않아, yeah
어릴 때 자신감이 하늘을 찌를 땐
무서울 게 없었는데 막상 현실에서의
나는 가끔 굉장히 작게 느껴지니까
그래서 그런가, 겁이 많아지고
겁이 많아지니 생각 많아지고
생각 많아지니 행동 느려지고
행동 느려지니 나까지 늘어져, aye
움직여야지, 일어서, aye
나 10년을 왔다고, 비로소, aye
나 진짜로 가끔은 빌었어, aye
장례 다 치렀어, aye
보낼 놈 보내고 추릴 놈 추리고
들일 놈 들이고 인사 함 드리고
멋을 좀 부리고 향수 좀 뿌리고
I'm in my studio, aye
불을 좀 붙이고 짱구 좀 굴리고
박자 좀 즐기고, aye
기쁨 좀 누리고 슬픔 좀 느끼고
감정 좀 죽이고, aye
어디 좀 묶이고 금세 또 풀리고
인생 참 웃기고, aye
또 그것도 웃기더라
웬 놈이 나더러 변했대
웬 놈이 제대로 봤어
나 많이 아팠어
티가 많이 났어?
변해서 미안해, 널 기억 못 해서 미안해
널 기억하겠다 뻥쳐서 미안해
근데 나 미안한 것도 다 뻥이라 미안해
인생이 쉽지 않아, yeah
어릴 때 자신감이 하늘을 찌를 땐
무서울 게 없었는데 막상 현실에서의
나는 가끔 굉장히 작게 느껴지니까
그래서 그런가, 겁이 많아지고
겁이 많아지니 생각 많아지고
생각 많아지니 행동 느려지고
행동 느려지니 나까지 늘어져, aye
움직여야지, 일어서, aye
나 10년을 왔다고, 비로소, aye
나 진짜로 가끔은 빌었어, aye
장례 다 치렀어, aye
보낼 놈 보내고 추릴 놈 추리고
들일 놈 들이고 인사 함 드리고
돈이 막 벌리고 인생 좀 펴지고
하니까 철이 없던 나는 막 썼어, 다 썼어
루마니아 가면서 800을 쓰고도
모자라 200을 더 썼어, 답도 없어
겁도 없었어, yeah
뭐라도 된 것마냥 하고 댕기고, aye
그니까 뭐라도 생기고, aye
친구들까지 다 챙기고, aye
더러워진 서울시 아니고 더러워진 건 내 시야
어디 갔어, my clear vision, 어디 갔어, 장래희망
언제 한 번은 나 진짜로 크게 느껴졌었어, 회의감
근데 나 여전히 하고 있잖아
돈이랑 나, 그거 그림 좋잖아, leshgo
River Boy, 제대로 물올랐잖아
다시금 정신이 돌아왔잖아
진짜로 멀리도 돌아왔잖아
쨌든 내 성공은 보나 마나
많은 걸 겪으며 걸어왔잖아, aye
그래서 그런가, 겁이 많아지고
겁이 많아지니 생각 많아지고
생각 많아지니 행동 느려지고
행동 느려지니 나까지 늘어져, aye
움직여야지, 일어서, aye
나 10년을 왔다고, 비로소, aye
나 진짜로 가끔은 빌었어, aye
장례 다 치렀어, aye
보낼 놈 보내고 추릴 놈 추리고
들일 놈 들이고 인사 함 드리고
돈이 막"
적자생존 (Feat. DON MALIK),ZENE THE ZILLA,"Yeah
Okay
Survival
Leshgo
인생은 적자생존
심장에 적자, '생존'
이번 달 적자, 그래도 생존
더 크게 적자
'나는 절대 생존', yeah
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
시련, 비련 이겨내고서
미련 버리고 됐어, winner
잃어버린 건 잊어
기적 일어난 듯이 이뤄
이 정도에선 멈추지 못해
나 왕이 되는 건 기정, 필연
필력, 실력 좋고
괜찮은 비주얼, clear vision
가끔 지쳐, 고마워, 위로,
알어, 네 의도, 근데 그것도
자꾸만 받으니 싫어지더라고
걍 날 지켜보거나 비켜
인생은 길어, 인생을 기록
지금이 인생을 뒤바꿀 시점
10년이 넘는 시간 동안의
경험을 미뤄봤을 때
정답은 하나더라
Just believe in myself
If you just wait, you just a waiter
가서 치킨이나 내와
세상이 나를 막 괴롭게 하면
난 되려 막 신이 나네
이다음엔 더 개쩌는 것들이
있을 거란 걸 확실히 알기에, yeah
인생은 적자생존
심장에 적자, '생존'
이번 달 적자, 그래도 생존
더 크게 적자
'나는 절대 생존', yeah
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
Real talk
돈의 노예, *녀, 뱀새끼
Ok, maybe I deserve that s**t
했던 말들 구라로 변했으니
나라고 다 자랑스럽겠니?
고집 곧이곧대로 걷기엔 지금
내 종아린 약한 거겠지
그만큼 야망이 먼 데 있기
때문인가 봐, 뭐 어쩌겠니
한 달에 백만원 벌 수 있게 된다면
그때 내 인생 개 쩔겠지?
신이시여, 제발 좀
악마도 괜찮어
대답 기다려 간절했기에
그렇게 기도한 것보다
훨 멀리 와버리고 나니
이게 내가 진짜 원한 삶이었나 싶어
머릿속 안이 복잡해
대체 어디로 가니
이다음을 아무도 알려주지 않아
여전히 만족스럽지 않은 기분
위에는 위에는 위에는 위에는
위에는 있더라구 난 그다음 위를
구경해 보고파, 기왕 태어난 김에
엄마에게 큰절, 나 빼어나긴 해
군계일학들 모은 데서 군계일학
훈계일랑 꿈 깨, 인마
내가 대체 어떻게 굶겠냐구
얘네 다 내 저녁 재료인데?
잘못 아니잖아 내가 최고인 게
닭대가리들 내 실수만 세고 있을 때
사라져 하나씩, yeah, they know it's the
Killer, killer, it's chicken's thriller
Set table for winner
할라고 하지 마, 낄려
Then We know
인생은 적자생존
심장에 적자, '생존'
이번 달 적자, 그래도 생존
더 크게 적자
'나는 절대 생존', yeah
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner
I'm a winner, winner
Let's get chicken dinner"
아직,부현석,"아직 너의 가족을 볼 순 없어 
우린 더 알아가야 하지만 생각은 해보고 있어 
그런 자릴 가져본 적이 없지만 
내린 바지 tattoo 내 걸음걸이까지 
행색으로 날 안 좋게 봐도 
확신이 들면 난 뜯어말려도 갈 거야 
너가 아는 나는 괜찮은 놈 
남자는 보이고 여잔 들리는 거에 현혹돼  
널 빠뜨려 내 거짓 섞은 진심 몇 개에 
 
그걸 말한 나도 속아 내 꾀에 걸려
내 스스로에게 걸었지 compressor 
감정 빼고 내려 할 수 있는 최선 
내가 볼 땐 넌 이미 눈칠 챘어 
멀어질 각을 잡는 걸 보니 아마도 이게 last call 
아직 너의 가족을 볼 순 없어 
우린 더 알아가야 하지만 생각은 해보고 있어 
그런 자릴 가져본 적이 없지만 
내린 바지 tattoo 내 걸음걸이까지 
행색으로 날 안 좋게 봐도 
확신이 들면 난 뜯어말려도 갈 거야 
너가 아는 나는 괜찮은 놈 
공존하지 good or bad 두 가지 아이디어 
니 할 말도 알아 날 배려 하다 생각에 치여 
어렵게 꺼냈다는 거 난 모른 척 음 
그만큼 좋은 사람인 건 눈치를 챘어도 
못 멈추지 이해를 바라는 건 욕심
이지만 나 자체를 받아들이고 가는 모습이 
네 가장 이쁜 짓  난 가끔 개짓 
널 취할 때 난 뭐가 됐든 취해야 했지 
smoke and drink  I love that toxic thing 
멋쟁이인 줄 알았던 겁쟁이 
이제 더는 잘 안나 누굴 믿을 용기가
 
너가 등 돌리면 더욱 네 생각이 나겠지 
bad routine"
Cold winter (Prod. GRIO),NO:EL,"눈이 원 없이 내리던 날 
너 없이 난 또 왜 이럴까 
멍하니 잠만 깨있던 밤 
내 맘은 맘대로 될 리가 없나 Yeah 
여서 일곱시쯤에 하늘이 까맣게 열리면 
너가 떠나 외로워 혼자 커버리는 걸리버 
돌아와 줘 다시 그때 아침으로 
나란히 앉아 그대와 나 같이 마실 음료 
웃으며 좋아해 줬을 간식들도 
눈처럼 흩어져 내려서 다 힘들죠 
빨갛게 살랑살랑거리던 표정 
깊고 새까만 눈에 맞춰 초점
평생 지나도 넌 내게 소녀
옷을 미친 듯이 껴입어도 추워
팔짱이 풀리지 않아 몸이 굳어
텅 빈 방 안에 입김을 한숨처럼 불어
내 자린 어김없이 벽에 세워져 구석
맨발로 눈길 위에서 나 휘청거려
너가 보이는 듯해 가짜 기적처럼
널 다시 만날 수 있다고 믿어
나 혼자 서있어 It is cold cold winter
눈이 펑펑 내려
숨이 턱턱 막혀
우린 점점 멀어져
불이 꺼져버렸어
눈이 펑펑 내려
숨이 턱턱 막혀
우린 점점 멀어져
불이 꺼져버렸어
잔뜩 움츠러든 어깨 나 없이 넌 어때
물어볼 수도 없게 멀리 떠나 추위에 떠네
땅은 얼어붙고 기억은 서리처럼 내려
감각이 없는 손끝으로 네 미소를 챙겨
뒤를 돌아보니 어느새 내 발자국만 남아
언제부터 끊겼을까 이제 와 네 흔적 찾아
온 세상이 하얗게 반짝거려 눈이 부셔
잔뜩 찡그린 채 바닥보고 거친 숨 쉬어
차가운 이곳에선 부드러운 온기가 필요해
나는 버릇처럼 모든 거를 너와 비교해
창문까지 얼어버려 앞을 볼 수가 없어
밤새 부는 칼바람을 어찌할 수가 없어
옷을 미친 듯이 껴입어도 추워
팔짱이 풀리지 않아 몸이 굳어
텅 빈 방 안에 입김을 한숨처럼 불어
내 자린 어김없이 벽에 세워져 구석
맨발로 눈길 위에서 나 휘청거려
너가 보이는 듯해 갑자기 좋잖아
널 다시 만날 수 있다고 믿어
나 혼자 서있어 It is cold cold winter
눈이 펑펑 내려
숨이 턱턱 막혀
우린 점점 멀어져
불이 꺼져버렸어
눈이 펑펑 내려
숨이 턱턱 막혀
우린 점점 멀어져
불이 꺼져버렸어
눈이 펑펑 내려(펑펑 내려)
숨이 턱턱 막혀(막혀)
우린 점점 멀어져(멀어져)
불이 꺼져버렸어(꺼져버렸어)
눈이 펑펑 내려(펑펑 내려)
숨이 턱턱 막혀(막혀)
우린 점점 멀어져(멀어져)
불이 꺼져버렸어(꺼져버렸어)
눈이 원 없이 내리던 날 
너 없이 난 또 왜 이럴까 
멍하니 잠만 깨있던 밤 
내 맘은 맘대로 될 리가 없나 Yeah"
Take Off,AIRLINE (에어라인),"Airline 두 번째 날갯짓 앞길엔 wit no 악천후
이제 알겠지 누가 위고 아랜지 
여전히 우린 계속 발전 중
일확천금보단 더 높은 가치를 향해서 발돋움
그깟 몇 푼에 영혼 판 놈들과는 
구별되어지는 한걸음
마이크 들어 올리고 내려놔 부담은
실력 있단 랩퍼들 다 되려 나쁜 발음
수준 낮은 가사들이 배려놨던 판을
되돌리기 위해서 지금껏 새워갔던 밤들
그렇게 빚어낸 결과물,
우린 얻어갈게 그간 원해왔던 반응
통장에 공보단 양손의 엄지 또
함성을 곁들인 열기와 박수 소리
that's all we want. 매번 이렇게
내 목소리로 갱신해 버려 새로운 기록
let me turn it up. 
이걸 돈벌이로만 보는 너희에게는 적신호
진짜들은 죄다 여기로
Airline no.1 chopper 
너네 머리 위에 hoverin'
우리랑 붙을라면 배워둬 낙법 
바로 던져버려 구름 위
껌뻑하는 사이 제로백 
부딪치려거든 추가해 에어백
우린 절대로 안 쓰러져 에어맨 
매일이 슈퍼플레이 성운씨가 너무 바뻐
새로운 티켓을 발권 
나리타에서 새 비트를 pop up해
다음 목적지는 화성 기내식으로 래퍼들을 삼켰네
연휴에 내 스케줄은 airtight 
국제전화 조심해 전화 걸 때
난 wireless but no airpod 
너흰 왜 묶여있어 아직도 자가격리
없어 니 시야엔 we got even different eye level
different time line 해라 시차적응 
아마 난 빈지노가 된 기분
파워리프터 아닌데 왜 여기 씬을 
혼자서 들었지 난 오롯이
다음 1LLIONAIRE 되긴 빡세지 
공중에 떴지만 없어 우린 도덕이
여기 널린 것들이 질려서 하늘로 떠
위에 천둥번개가 쳐도 뭐 상관없어
전부 걸어둔 다음 내 패로 그냥 판을 엎어
쫙 올라가는 기분 
지금 내 위치는 그냥 하늘 위로 떠
Airline on the jet
삼각별 like benz
체급 올려 두 배 이제 Fly up
꽉 붙들어 매 belt
Airline on the jet
계속해서 on my way
땡겨 hit the gas we fly up 콘크리트 위로 높게
쉽게 터닝포인트를 맞이할 거였다면 
이륙도 안 했다 맹세해
시작부터 떨어대는 두 팔은 계속해서 
위아래로 glide like that
들어오니 노를 저어야 할 때 그러니 회한은 없어
구름다리 번쩍하면 모두가 희번덕해 쳐다봐 
어안이 벙벙하지
아직도 정상까지 모자란 feat
장르 안에선 아녀도 vicious
싸질렀지 몇 년 전 pee
nut가 되어 돌아와 대한에
나의 crew가 꿰찼지
かしこい
쉽게 회먹네 like fish ball
다 뒤집어 頭 환영 mysterio
다들 어쩌다 빠져 버렸네 hysterie mode
다를 거 없지 다만 같은 벌스여도 나아 
내가 더 느낌 아니까 플러팅 갈겼음 
한국에서 진작에 떴지 with career
맨날 뭔 얘기 나오면 정색이고 
서로 재보기 바쁜 겁쟁이 녀석들
now you see me 다시 구름 위 
원한다면 따라와 on air
Hop on the plane, Edible bears (Gummies)
없어도 High 너네는 보안검색대 checked
풀어놔 벨트 내 의자는 제껴서 bed
승무원 건네줘 Vodka 샷 
여전히 no one complains
I'm gonna chill 근데도 좌석은 business
옆자리 여자는 폰 키지 얼굴 옆 손가락 대고 V
인스타용 Selfie 찍 기회는 많아도 not my thing
태평양 위에서 가사 다 적을 쯤 한국에 왔겠지
'대인배인 척 선배'
이제 인정해, 시건방진 건 나였네
저 아래 점이 된 정은 Kim
We the new leaders in Supreme 티
Vodka 하나 더 비운 뒤에 취침
여기 널린 것들이 질려서 하늘로 떠
위에 천둥번개가 쳐도 뭐 상관없어
전부 걸어둔 다음 내 패로 그냥 판을 엎어
쫙 올라가는 기분 
지금 내 위치는 그냥 하늘 위로 떠
Airline on the jet
삼각별 like benz
체급 올려 두 배 이제 Fly up
꽉 붙들어 매 belt
Airline on the jet
계속해서 on my way
땡겨 hit the gas we fly up 콘크리트 위로 높게
Ready for Take Off
내 기분은 마치 컨트롤 비트의 테이크원
독고다이, 필요 없어 back-up
드라마를 원하면은 역배
나와 같다면 hands up
뭘 하든 뭐라하든 찍어버려
니 머리 꼭대기 위 Shut up please
올라가는 고도, 기내식은 준이형의 맛깔난 beat
I can't breathe
속전속결 높여 고점
항공사의 생태계 파괴 혼종
에어라인 항공 목적지는 홍콩
복통 호소 하더라도 하차는 없어
여수의 Top Gun
위태로운 기분을 즐겨
간담이 서늘
우리의 길을 믿음 
Team의 이름 따라가듯 에이스가 double
AIRLINE 여전히 재미에 목숨 걸지
내가 나의 wannabe
핸들을 잡아 deserve it.
태풍이 몰려와도 nothing
감각적으로 타 groove 
매 순간 구르기에
이끼 안 끼지 대신 입술 부르텄어
6번 엔진은 과열 brrrrr"
