제목,가수,가사
그게 무슨 말야 (Pause),줍에이 (Joob A),"넌 진짜로 나를 잊었니
시간이 흐른 뒤에 다시 묻겠지만
쉽지는 않아 기억이
지워진단 거 내가 아직 밉겠지만
네가 날 가둬뒀던
그 시간 속에서
I'm pausing pausing
I'm pausing down unto your heart
그게 무슨 말야
이제 더는 안 되겠다는 너의 말이
그게 무슨 말야
내가 없이도 괜찮다는 그 답이
모르겠어 하나도
모르겠으니 날 안아줄래
늘 그랬던 것처럼
우린 원래 늘 그래왔던 것처럼
오늘 일하는 날인데 날 만나서
그냥 날씨가 좀 나빠서 그래
먼 길 운전해서 오느라 조금 지쳐서
그냥 너 잠깐 힘들어서 그래
날 만나서도 계속 핸드폰을 하고
지쳐 보이는 그 표정도 나는 괜찮다고
그래 전에 내가 했던 말
전부 다 취소할게 그냥 돌아와
넌 아무것도 하지 말고 내 옆에만 있어 딱
You just wanna be you
그래 알았어
있는 그대로를 사랑하지 못한 건 나란 거
내 이기적인 마음이 자꾸 나와서
네가 힘들었던 거야
내가 너무 나빴어
서운해하지 않을게
내 문자를 안 봐도
인스타그램을 통해서
네 소식들을 알아도
그럴 수도 있단 거
나도 이제 진짜 알겠어
내가 다 잘못했어
그냥 제발 내게 돌아와
그게 무슨 말야
이제 더는 안 되겠다는 너의 말이
그게 무슨 말야
내가 없이도 괜찮다는 그 답이
모르겠어 하나도
모르겠으니 날 안아줄래
늘 그랬던 것처럼
우린 원래 늘 그래왔던 것처럼
시간을 갖자라고 하던
너의 눈 속엔 어느새 미안함 마저
담겨있네 난 다 알면서도 모른 척
다 봤으면서 못 본 척했지만
알았어 네가 결국 이별을 고를 거
미안해라는 말도 의미 없단 거 알고
이미 다 늦었다고 말하는 거 같아도
다 알면서도 잡아 아니면 후회할 거 같아서
내 자존심을 전부 다 내려놓고 서라도
그냥 you just wanna be you
넌 너로 있으면 돼
내 옆에서 하고 싶은 거 전부 다 하면 돼
우리 안 맞는 것들 내가 다 맞추면 돼
어려운 일 아냐 널 잃는 것보다 쉬운데 난
미워하더라도 밀어내지 마
날 위해서란 그런 소리는 제발 하지 마
그 말만 아니면 난 몇천 번을 더
부서져라도 너한테 가는 길을 찾아서
run run
 
그게 무슨 말야
이제 더는 안 되겠다는 너의 말이
그게 무슨 말야
내가 없이도 괜찮다는 그 답이
모르겠어 하나도
모르겠으니 날 안아줄래
늘 그랬던 것처럼
우린 원래 늘 그래왔던 것처럼"
"티타늄 펀치 (Feat. Curlly, Paiddy)",토스트보이 (TOAST BOY),"빅 토스트
티타늄
단단해
진화 중
볼수록
귀여워
부끄러워 날려 펀치
빅 토스트
티타늄
단단해
진화 중
니 여친
귀여워
받아라 찜꽁 펀치
펀치 펀치 펀치 티타늄 펀치
단단한 펀치를 날리는 매직
펀치 펀치 펀치 티타늄 펀치
단단한 펀치를 날리는 매직
(내가 토스트보이야)
도움닫기 huh
발 빠르게 뛰었으면 얻어 돈과 힘
어..열심히 해 인정을 받아 마치 송가인
Lesssgo
서울살이 하는 애들 죄다 똑같이
핑계 대더라 대한민국 society
O O O
빛 좋은 개살구야
If u dont know 아가리 닫거라
건들면 나지 반토막
또 다른 말로 혀 놀려봐
one chance no man
좋은 기회가 안 올때
더 고생..
아니면은 _뺑이
까던가 말거나 (뽀규)
빅 토스트
티타늄
단단해
진화 중
볼수록
귀여워
부끄러워 날려 펀치
빅 토스트
티타늄
단단해
진화 중
니 여친
귀여워
받아라 찜꽁 펀치
펀치 펀치 펀치 티타늄 펀치
단단한 펀치를 날리는 매직
펀치 펀치 펀치 티타늄 펀치
단단한 펀치를 날리는 매직
Big boss 킵컬리
토스트보이 피쳐링
탁월한 선택이지
랩은 제일로 낫잖아 형이
혓바닥 펀치에 꽤 놀라는 모습이
힙합씬 난리나셨지
왜냐면 너넨 멋 없으니
emergency
받아라 타이타니움 펀치
페이디는 왼손잽이
만약 멀쩡했다면
내 정신 진작에 게임 끝냈지
시체가 말할줄아네 what did you say?
미안한데 말랑한 애랑 말 안해
하려면 you gotta pay
난 오늘도 바뻐 혓바닥에나 땀 okay
좀 더 딥하게 새벽 시간에 초짜는 디딤발 빼게 해
음악 시장에서 재료는 내 입을 거침 당연 비빔밥 돼
ay 너네 짜집기 할 때 난 한 곡만 해도 안 민망해
엇비슷하게 뱉는 새끼들 사이에서 내 머리위
비가 내려 난 신나게
춤을 춰 내 선은 정교해 토봉이 라보나 킥같이
저새끼 피나지 일단 스미마셍
근데도 하지 난 이 맛에
빅 토스트
티타늄
단단해
진화 중
볼수록
귀여워
부끄러워 날려 펀치
빅 토스트
티타늄
단단해
진화 중
니 여친
귀여워
받아라 찜꽁 펀치
펀치 펀치 펀치 티타늄 펀치
단단한 펀치를 날리는 매직
펀치 펀치 펀치 티타늄 펀치
단단한 펀치를 날리는 매직"
추워지기 전에 (Feat. Skinny Brown),DYMIN (다이민),"I was at work 너무 집중했나 봐 아직 난 더운데
벌써 추워지려나 봐 나 아직 준비 안됐는데
나 계속 찾아보려 해 이맘때쯤엔
우리 첫 사진도 날씨에 비해선 참 따뜻했네
There's something makes me wrong
우린 참 바보 같애
우리의 계절만 오면 서로 없음 못 사네
꼭 네가 듣길 바랬었던 내 노래도
이번만큼은 달라 모르는 척 해줘
추워지기 전에 똑같은 실수에
서로가 또 속지 않게 널 지워줄게
추워지기 전에 상처받기 전에
서로를 위해 좋았던 추억도 지울게
힘들 것도 알아 나도 그러니까
이 시기만 오면 곁을 맴도니까
옷이 더 두꺼워질 때쯤 말야
우린 또 서로를 찾을 것도 알아
Girl, leave me alone
I still feel in low
I know it's my fault
I know it's my wrong
추워지기 전에 멈췄음 해 time
사실 자신 없거든 when you come out
Girl, leave me alone
I still feel in low
모습 보여 camera with no reason
go shopping with no reason
쳐다보지 않던 인조모피를
둘러봐 fall winter season
내 낮은 목소리를 몰랐겠지
like morgan I'm freeman
둘이 함께였을 때를 기억해 지금
혼자론 안 나겠지 major key
censoring
수많은 추억이 밟혀서 내 발 I'm finna bleed
ballin 할 때마다 기억은 부서져 shattered backboard,
조심, 조금은 남기고파 fantasy
욕심이 나고 날은 추워져 나를 재촉하지 fast forward
fast forward, 나를 떠나 with your passport
we already know, 우린 찾을 거야 계속
해가 쬐고, 비가 내리던 날에 있기에 너무 아까워
아무도 밟지 않은 눈에 네 이름이라도 남겨
난 원해 안정을, 근데 동시에 원하지 반전을
넌 매정하다겠지만 너의 인생을 살어 한번은
I don't know what is wrong, what is right
but 나은 결정은
너의 머릿속엔 없는 듯해, 내가 짊어지고 갈래 without a bless
Girl, leave me alone
I still feel in low
I know it's my fault
I know it's my wrong
추워지기 전에 멈췄음 해 time
사실 자신 없거든 when you come out
Girl, leave me alone
I still feel in low"
Birthday (Art. Moonew),Anonymous Artists(어나니머스 아티스트),"난 내 식대로 막 해 yeah
vroom vroom 차를 몰아 다녀두
부릉 부릉 액셀을 밟아도 돼
boom boom 폭죽을 터쳐 매일 밤
펑 펑 풍선을 터트려 줘 난 지금 매일이 너와의
birthday 인 것 마냥 그러니 wait
지금 바로 달려가겠어 난
너의 허릴 잡고 진한 키스를 해야겠어 당장
don't worry about that 걱정은 마
저무는 태양 속으로 갈 거니까
너와의 추억은 오늘과 내일이 돼
우린 이제 달라질 거니까
wait wait 이라 말해도 기다릴 필욘 없어
birthday 처럼 너가 즐기는 모든 걸 추구해
좀 놀아야 돼 넌 그런 지겨운 표정을 그만 풀어야 돼 이젠
난 내 식대로 막 해 yeah
vroom vroom 차를 몰아다녀두
부릉 부릉 액셀을 밟아도 돼
boom boom 폭죽을 터쳐 매일 밤
펑 펑 풍선을 터트려 줘 난 지금 매일이 너와의
birthday 인 것 마냥 그러니 wait
지금 바로 달려가겠어 난
너의 허릴 잡고 진한 키스를 해야겠어 당장
당장 확인해야 돼 난 오늘 밤
매일 밤 남아야 될 네 목에 키스마크
0부터 100까지 선을 제시해 놓으면은
100을 뚫어버리고도 남아 내 열정선은
그래 난 지금은 부딪혀보려고 해
너가 해준 말들의 도화선이 나의
불이 붙은 불꽃은 이윽고 타고 올라가
나의 발 앞에 놓인 지금의 상승곡선
더 더욱 발악할 거야 난
무슨 장애물이 있던
아무리 누가 뭐라하던
yeah 시동은 꺼지질 않고 갈길 가
This is on my way
vvs on my neck
도움이 필요하면 연락해 now
this is on my way
how I did it y'all get it?
난 내 식대로 막 해 yeah
vroom vroom 차를 몰아다녀두
부릉 부릉 액셀을 밟아도 돼
boom boom 폭죽을 터쳐 매일 밤
펑 펑 풍선을 터트려 줘 난 지금 매일이 너와의
birthday 인 것 마냥 그러니 wait
지금 바로 달려가겠어 난
너의 허릴 잡고 진한 키스를 해야겠어 당장
당장 가야겠어
어중간한 건 제쳐두고
당장 만나야겠어
이 거리를 초월해서
당장 가야겠어
너희들을 추월하고
당장 가야겠어
이 세상에서 너를 만나러
난 내 식대로 막 해 yeah
vroom vroom 차를 몰아다녀두
부릉 부릉 액셀을 밟아도 돼
boom boom 폭죽을 터쳐 매일 밤
펑 펑 풍선을 터트려 줘 난 지금 매일이 너와의
birthday 인 것 마냥 그러니 wait
지금 바로 달려가겠어 난
너의 허릴 잡고 진한 키스를 해야겠어 당장"
hay fever,gamma,"네게 사준 노란 색 꽃 뭐였는지
기억 안나 그 꽃 말이 뭐였는지
Dried flower because ma Pollen allergy
마른채론 꽃 향기도 안나 역시
널 못 미워했던 것도 나 잠시
기억 속에 못 지워내서 나 잠시
하나씩 꺼내서 널 보내야 하지
몇 곡을 더 불러야 할지도  
몰라 I hate that my hay fever
i have a hay fever 
I hate my hay fever
말했던 내 hay fever
숨쉬기 힘들어 
네게 사준 노란 색 꽃 뭐였는지
기억 안나 그 꽃 말이 뭐였는지
Dried flower because ma Pollen allergy
마른채론 꽃 향기도 안나 역시
널 못 미워했던 것도 나 잠시
기억 속에 못 지워내서 나 잠시
하나씩 꺼내서 널 보내야 하지
몇 곡을 더 불러야 할지도
몰라 I hate that my hay fever
i have a hay fever 
I hate my hay fever
말했던 내 hay fever
숨쉬기 힘들어 
I have ma Hay fever, 봄 같던  너의 향기
i pop on pills 땜에 못 맡던 너의 향기
버렸어 지갑 속 있던 너의 사진
숨 좀 쉬 게 because ma Pollen allergy"
구땡,"호미들, 깐병 (KKANBYEONGZ)","널 위해 뭘 못해 한바퀴나 돌까 지구
찬바람 불땐 억으로 덮어 니 피부
난 가을을 부를땐
BURBERRY라해 그게 내 비유
쟤내 감정은 왜 미움뿐인건지 의문
hop in coupe it’s too fast
부려 추태 뭐라 못해
9 9 problems 이건 구땡
우짜긴 뭘 우째 세워 줏대
MIC on my left hand 위
이제 빠질일은 없어 패닉
지금 딱 좋은 기분이니 괜히
여기 씩씩대지마 제길
매일 아침 일어나면 잔고 checkin
내 통장은 매일 새로 바뀌어 페리
좀 추워지니 하나 사야겠어 패딩
너도 하나 골라봐 babe
I don’t mind we still here
험한길도 같이 가는거지 맞지 뛰 뛰
나는 필요없어 CPR 멈출일이 없는 심장 삐 삐
멋진 썰을 만들어 for my kids
우리 빼곤 지워 크로마키
나를 까던 빨던 쏟아 힘
뭐 사실 아닌적이 없으니 건방진
널 위해 뭘 못해 한바퀴나 돌까 지구
찬바람 불땐 억으로 덮어 니 피부
난 가을을 부를땐
BURBERRY라해 그게 내 비유
쟤내 감정은 왜 미움뿐인건지 의문
hop in coupe it’s too fast
부려 추태 뭐라 못해
9 9 problems 이건 구땡
우짜긴 뭘 우째 세워 줏대
we don't back go get it
힘들땐  돔페리
원해 실패 내게 도움되니
일당백 내 별명은 백인
im about to flex 사야해 bust down
하나 둘 셋 하면 쌓여 천장
뭐긴 뭐 겠어 세봐 이게 얼마야
완벽해야해 우리의 결말
넌 떨 이나 펴 난 오데마피게
난 또 일어서 죽고나서 쉴게
원하는걸  가질수록 내 정신은 피폐
난 안멈춰 내 자식을 위해
길에서 배운 지혜
널 위해 뭘 못해 한바퀴나 돌까 지구
찬바람 불땐 억으로 덮어 니 피부
난 가을을 부를땐
BURBERRY라해 그게 내 비유
쟤내 감정은 왜 미움뿐인건지 의문
hop in coupe it’s too fast
부려 추태 뭐라 못해
9 9 problems 이건 구땡
우짜긴 뭘 우째 세워 줏대"
Cicada,율음,"so what you see through the lens? 
나에게 삶은 마치 지구력 test
난 매일 방 안에서 뒹굴어대도 
꿈꾸고 있어 뭔갈 이루어 내길 
내가 만든 모든 설명서 대로
조각해대곤 했지 내 미래의 shadow
내 백지에는 하얀 글씨로 빼곡 
하지만 추억은 안 사라져 절대로
매미 소리가 들리면 
햇볕에 찐 많은 사람들이 길거리에 
널브러져 있어 다 시련
하지만 겪지 않으면은 남아 미련
나와 밖에, 너도 겪어야지 yeah
ice tea 한 잔에 걸어 내 risk yeah
너도 이해하긴 글렀겠지 yeah
여긴 바람마저도 뜨겁지 yeah
실수를 했어 yeah
넌 몰랐으니 됐어 yeah
어른 같으니 애써 흘려 들었던 lessons
oh, my professors yeah 
해가 지면 명암이 드리워 
화가처럼 원을 그리고 
그 안을 누가 채워주길 
언젠간 이 원을 깨야겠지 yeah
나는 원해 밝은 그림 
속에 밝게 웃는 kids 
이젠 잃어버린 여름 속에 갇혀있지 
계단처럼 올라가네 
여전히 이렇게 아프게 yeah 
난 elevator처럼 
올라가지도, 내려가지도 못한 채 yeah 
매미가 싫다고 하던 애 yeah
이젠 그리워하네 yeah
매미 소리가 들리면 
햇볕에 찐 많은 사람들이 길거리에 
널브러져 있어 다 시련
하지만 겪지 않으면은 남아 미련
나와 밖에, 너도 겪어야지 yeah
ice tea 한 잔에 걸어 내 risk yeah
너도 이해하긴 글렀겠지 yeah 
여긴 바람마저도 뜨겁지 yeah"
잊기전에 메모..!,원슈타인,"인생은 n차 관람 야외 페스티벌
Naked girl, you know you’re the best 이리 온
그렇다고 내가 벗을 몸은 아니고
(but) but, 잔을 비우면 나도 자신이 생겨
이제는 못 참겠어 난 bring it on
Hippy girl, you know you’re the best, be humble
그렇다고 내가 참견할 건 아니고
(but) but, 잔을 비우면 우린 친구가 되어
필름 끊기기 전에 메모
잊기전에 메모
필름 끊기기 전에 메모
잊기전에 메모
집에 가면 고양이랑 girlfriend 밥을 챙겨
택시를 타면 탔다고 문자를 하나 날려
창밖은 눈 씻고 찾아봐도 별이 안 보여
그 자릴 대신 밝혀주는 여기저기 네온
기사님의 선곡을 오늘은 그냥 들어
다른 세상 얘기를 하는 car radio
1분을 버티지 못하고 핸드폰을 키면
보기 싫은 얼굴들이 보여서 더 피곤
할 말을 못 하고 살면 그건 병이 돼
저 바보들은 훈수 두는 형을 싫어해
난 성격상 인스타 관리하기가 쉽지는 않아
아이돌 같은 날 원하던 애들도 하나둘씩 떠나
인생은 n차 관람 야외 페스티벌
Naked girl, you know you’re the best 이리 온
그렇다고 내가 벗을 몸은 아니고
(but) but, 잔을 비우면 나도 자신이 생겨
이제는 못 참겠어 난 bring it on
Hippy girl, you know you’re the best, be humble
그렇다고 내가 참견할 건 아니고
(but) but, 잔을 비우면 우린 친구가 되어
필름 끊기기 전에 메모
잊기전에 메모
이러니저러니 해도 사람들은 결국 그러려니 하네
난 억지로 세상에 적응하는 부모님 같애
내가 여기에서 떠들면 넌 말이 안 통한다고 욕하고
우린 다시 마주 보고 대화를 할 수 없는 사이가 돼
솔직히 난 널 뺏긴 것 같애
그러다 보니 억울해서
뭐든 깎아내리고 화를 내
그놈의 요즘 SNS에서 난리 난
이제 멘트 좀 바꿀 때도 됐잖아
우 잠깐 한 눈을 판 사이 예전에 내가 될 뻔했어
나를 욕하는 사람들과의 싸움에서 난 득이 없어
무시하면 되는 일 가지고 자꾸 말이 많아져 난
그러다 발견해 내 마음 한 켠에 있는 외로움
고민하지 말고 불러줘 안 좁아 아늑해
난 이거 면 되 넌 술을 못 마시니까 레몬에이드
너도 할 말 있을 텐데 못 물어봐 줘서 미안해
그러다 힘들 땐 옆에서 읽어줄래? 네 메모
필름 끊기기 전에 메모
잊기전에 메모
인생은 n차 관람 야외 페스티벌
Naked girl, you know you’re the best 이리 온
그렇다고 내가 벗을 몸은 아니고
(but) but, 잔을 비우면 나도 자신이 생겨
이제는 못 참겠어 난 bring it on
Hippy girl, you know you’re the best, be humble
그렇다고 내가 참견할 건 아니고
(but) but, 잔을 비우면 우린 친구가 되어"
COLDROAD,THUGBOYY,"I used to be alone on street at midnight
여전히 변하지 않았긴 하지
이 어린놈 꿈이랑 포부는 Large
돈 되는것들만 해왔던 아이
They be callin' me ""You MR. COLDHEART""
말해줄게 내 출신은 Cold Road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
2년전 내 앨범엔 지는걸 잊있고 드디어 알았대 이기는 법
2년이 지난 지금 준비를 거의 다 마쳤고 간절해 이기는걸
내가 보기엔 그때 난 부족해
솔직히 먼저 간 너가 부럽네
근데 나는 하나도 두렵지 않아
왜냐면 내 성공은 예견 됐네
우리가 우리였을 때는 없을거고, 축배를 들자고 더
준비됐어 그릇은 커졌고, 알고 있어 성공에 미친놈
I cannot trust nobody, Cap이 넘 많아 New Era매장보다 더
내 시야는 저 멀리, 게다가 선명히 보여 내 미래의 돈
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
아직도 자린 제자리
알아 너도, I ain't no lie
내 이야길 팔려면 필요해 Mall
아직 잊지 못해 아팠던거
알아줬음해서 knockin' on door
많아졌다고 내 꿈들이 더
Young ninjas spinnin' and sippin' a lot
그때 하고 있지 나는 돈 되는거
나를 알고싶음 들어 내 Music
보기엔 여기 대다수가 Stupid
너는 니 무덤을 파는게 맞다고
구라만 가득한 니 혀가 Bullet
아직은 모르겠어 누가 더
오래갈지 근데 확실한건
나라는 사람이 돈 때메
힘들어하는건 더 이상 볼 수 없어
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road
It's cold road"
새끼 (Feat. Mayhwed (메이훼드)),THUGBOYY,"난 더 더 벌어야해
시기 질투 때메
내가 뭘 먹고 입는지에 대해
새끼들 관심이 너무 많기에
보여줘야겠어, 모아 더 Stack
원했다면 전부 다 가져가
피와 땀은 내 삶의 증거야
이랬다가 저랬다하는 앞 뒤 다른 새끼가 아냐 난
Woah
날 짜증나게 아침에 깨우는 알람소리
Woah
내가 못 벌거래 알잖아 너도 그건 개소리
Woah
넌 몰라 우리 버는 방식 이건 Family 비즈니스
Black or White 다 원하지 Billi
아무것도 안하면 넌 Silly
실패 할 때도 절대로 안 빼
성공이란 놈이랑 탔어 한 배
Work hard erday, 소문은 작게
내가 돌아올 땐 소란해 장내
앨범 내기 전에 돈 갖고와
어케 벌었냐는 말에 입 닫고와
분야별로 박사님들 있지
우리한테 남는 장사하지
내 옆엔 종류별로 있어 새끼
내 음악때문에 음악한 새끼
나를 만들고선 군대 간 새끼
200은 가볍게 날리는 새끼
아 물론 서울대 다니는 새끼도
칼잡고 태극마크 다는 새끼도
이거 다 말할렴 오늘 밤 샐지도
그 중엔 있다고 나같은 새끼도
넌 뭔데 쳐다 봐
니 눈엔 보이지 않아 진심 그리고 살기가
이거 아님 Suicide
내 안에 Do or Die
THUGBOYY 내 이름을 박아놓을 새끼
난 더 더 벌어야해
시기 질투 때메
내가 뭘 먹고 입는지에 대해
새끼들 관심이 너무 많기에
보여줘야겠어, 모아 더 Stack
원했다면 전부 다 가져가
피와 땀은 내 삶의 증거야
이랬다가 저랬다하는 앞 뒤 다른 새끼가 아냐 난
Woah
날 짜증나게 아침에 깨우는 알람소리
Woah
내가 못 벌거래 알잖아 너도 그건 개소리
Woah
넌 몰라 우리 버는 방식 이건 Family 비즈니스
Black or White 다 원하지 Billi
아무것도 안하면 넌 Silly
벌어야 하는 이유가 있어 난 꼭
집이 아닌 집에 기다리고 있어 my dawg
What kind of bullshit are you talking about?
원하고 있어 난 더 많은 love
걸어온 길은 쉽지않았고
돈에는 유리조각들이 묻어나
사람의 향기가 그리워 또
난 너무 가진 것이 많나 봐
원했다면 전부 가져가
당연한 듯 행동해
모두 숨기고 싶으니까
내 눈물과 부끄러움, 소중함 까지도
아직 인생은 어려워 난
네 '변명은 시간이 없어서'지
내겐 이 순간의 1초까지
낭비할 새 없이 소중하지
01:14 새끼 that's me
난 순간을 채워
미래는 주저했지
화살처럼 날아가도
과거는 영원히
THUGBOYY and Mayhwed make it hot s***
Someday I'll be full, riding a Mercedes
go around this city
증명을 해내 꼭 보란듯이
돈도 없는 거지새끼가 입 털고 있지만
바라볼꺼야 난 위
난 더 더 벌어야해
시기 질투 때메
내가 뭘 먹고 입는지에 대해
새끼들 관심이 너무 많기에
보여줘야겠어, 모아 더 Stack
원했다면 전부 다 가져가
피와 땀은 내 삶의 증거야
이랬다가 저랬다하는 앞 뒤 다른 새끼가 아냐 난
Woah
날 짜증나게 아침에 깨우는 알람소리
Woah
내가 못 벌거래 알잖아 너도 그건 개소리
Woah
넌 몰라 우리 버는 방식 이건 Family 비즈니스
Black or White 다 원하지 Billi
아무것도 안하면 넌 Silly"
탑승수속 (Feat. Boy Wonder),"라코스타 (Lacostar), 워터프레시샤워 (WaterFreshShower)","치키 타 얼른 내 뒤에 타
막차 끊기전에 얼른 타
치키 타 얼른 내 뒤에 타
이러다 늦겠어 얼른 타
치키 타 얼른 내 뒤에 타
막차 끊기전에 얼른 타
치키 타 얼른 내 뒤에 타
이러다 늦겠어 얼른 타
철컹 차문이 안열려
그럴땐 내가 열어줄게
I'm a Lacostar 
내 꿈에 dream car
몰고서 떠나는거지 
Seoul to the Tokyo Harajuku 나와바리
탑승하는 기분 마치 12년도
오케이션 명반 딱지내고
나는 과속 멈추지는 않지
가진 않지 하진않지
너의 차에 낙서하지
나에게 덤벼 나는 라코스타 탑승수속하지
Hey 난 from the bottom 
많은 여자들을 태워
spit that fire
Hee Hee i STP 
Shout out to niceshotnick 
What the f noisey
Waterfreshshower
좋아하지 백지헌
Ok 그래 인정
뭐 나는 박지원
Waterfreshshower
좋아하지 백지헌
Ok 그래 인정
뭐 나는 박지원
take a time 빨리 이 벌스 해치워
no time 여자 번호 다 지워
논스탑 새로운 거 갖따 피워
make up dough 체급 키워 오늘도 방시혁
my fav car 옆엔 널 앉히고
길을 터 너가 추워 하면
크롬하츠 zip up
pay check 한껏 올려치고
모른 척 바로 튀어
너네 돈 가지고
hey how u doing
입금됨 i talk
내려 더 바지 이해못하면 gotta go
thought u was my dawg
b!tch im on my own
너랑 못타지 너가 타면 내리고
하나투어 내꺼 들어가면 얼음땡
이젠 두눈 감고 떼 몇백짜리 tag
너가 들은 나의 소문에 double that
let em talk let em talk let em talk
they aint know it
탑승수속하지 여기저기 김포공항
오빠차 한대 뽑았다 여기 모여라
이쁜 누나들이 보이네 김포공항
목요일은 놀고 그리고 금요일
탑승수속하지 여기저기 김포공항
오빠차 한대 뽑았다 여기 모여라
이쁜 누나들이 보이네 김포공항
목요일은 놀고 그리고 금요일
say what
치키 타 얼른 내 뒤에 타
막차 끊기전에 얼른 타
치키 타 얼른 내 뒤에 타
이러다 늦겠어 얼른 타
치키 타 얼른 내 뒤에 타
막차 끊기전에 얼른 타
치키 타 얼른 내 뒤에 타
이러다 늦겠어 얼른 타
치키 타 얼른 내 뒤에 타
막차 끊기전에 얼른 타
치키 타 얼른 내 뒤에 타
이러다 늦겠어 얼른 타"
노세노세(Remix),"호미들, Cosmickey (코스미키), Sky","노세노세 젊어서 노세
난 시작은 빨리
쉴 시간 없어 움직여 내 다리
Genesis hop in
R8 냅두고 이재용같이
내가 왜 가 니 파티
닌 똥구멍으로 먹었어 니 나이
Ay beautiful shawty
니 말고 내 차, 시계 부르는거임
뭐 젊어 일해 젊어 버네
젊어 노네
(노세 노세 젊어서 노세)
뭐 젊어 일해 젊어 버네
젊어 노네
(노세 노세 젊어서 노세)
Ballin 해
루이비통벨트 내 허리에
diamond chain rolli flex terminate
쟨 우리보고 또 짓거리네
니 앞가림해
왤케 과민해
이걸 만든건 내 땀이네
수없이 뱉어 이빨 갈리게
이러다가 하겠어 laminate
22 나이에 ㅎ
알몸 착장도 1억 no lie
발목 잡혀도 달려 또다시
problem 따윈 이겨내고 we fly
땅속에서 자라온 어린 아이
방송 안타고 쓸어 몽땅
창조 무에서 유 my lifestyle
난 시작은 빨리
쉴 시간 없어 움직여 내 다리
Genesis hop in
R8 냅두고 이재용같이
내가 왜 가 니 파티
닌 똥구멍으로 먹었어 니 나이
Ay beautiful shawty
니 말고 내 차, 시계 부르는거임
뭐 젊어 일해 젊어 버네
젊어 노네
(노세 노세 젊어서 노세)
뭐 젊어 일해 젊어 버네
젊어 노네
(노세 노세 젊어서 노세)
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세
Okay 너네 뭐하냐 조빱 다 됐으
거기 비실이 갑갑하네
너네 월급이 차 값하네
나는 못 돌아가겠어 단칸방에
Oh shit 눈을 배렸어 짭 착장에
Oh god 우리 찐퉁은 쌈빡하네
Oh my 내 시계 진짜 쌍당하네
우리 떳떳하지 우리들 혓바닥에
Tik tok 내 시간은 pop in
내 방식 반칙 없이 널 닦기
틱틱거려 니 아가리는 닫기
A B C 발 어차피
Okay 아 시간 좀 봐바
소매를 걷어 데이토나가
Oh yeah 근데 이거 어케 봐?
나도 몰라 진짜 이 새끼야
난 시작은 빨리
쉴 시간 없어 움직여 내 다리
Genesis hop in
R8 냅두고 이재용같이
내가 왜 가 니 파티
닌 똥구멍으로 먹었어 니 나이
Ay beautiful shawty
니 말고 내 차,시계 부르는거임
뭐
뭐 젊어 일해 젊어 버네
젊어 노네
(노세 노세 젊어서 노세)
뭐 젊어 일해 젊어 버네
젊어 노네
(노세 노세 젊어서 노세)
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세
노세 노세 젊어서 노세"
도피,"hyeminsong, 젬마 (GEMma)","한 방에 다시 난 갈렸지
생각만 해도 참 가엽지
잃을 것도 잊을 것도 하나 없는 대로만 걷네
검게 물이 든 이 거리에
나의 영혼마저 버린 내게
찾아온 건 내 안에 퍼져 
텅 비어있던 난 점차 메워져만 가
오오.. 오오…. 오.
정도 없던 편안함이 날 더 변하게 하다가
겁도 없어져서 철저히 감춰둔 걸 꺼낸 나는
원래 이랬던 나라 하지만 
딱히 잘 생각도 안 나
“비틀비틀 휘청이는 몸짓들
저 사이 어딘가에 섞이고 번진 애는
지독하게 얽힌 그들과의 그 시간에  
고통 하나 없이 잠에 들어만 가는데”
넌 이런 내가 낯설다고 말하지만
어쩜 이게 나야
예전의 내 모습이 더 이상
보이지 않는 걸 나 보고 뭐 어떡하라고
오오.. 오오…. 오.
정도 없던 편안함이 날 더 변하게 하다가
겁도 없어져서 철저히 감춰둔 걸 꺼낸 나는
원래 이랬던 나라 하지만 
딱히 잘 생각도 안 나
“비틀비틀 휘청이는 몸짓들
저 사이 어딘가에 섞이고 번진 애는
지독하게 얽힌 그들과의 그 시간에  
고통 하나 없이 잠에 들어만 가는데”
총을 손에 쥐고
두 눈을 감아 
오 하나둘 셋 세면
도착할 곳에서는
더 이상은 없기를
난 왜 이럴까
나약해서인가?
여전해 난 잔인하게 죽어가"
