제목,가수,가사
미춰버리겠어,기리보이,"벌써 몇 달이 지났나
아니 몇 주밖에 안 됐어
시간을 얼마나 버렸나
그걸 다 세고 앉아있어
몇 달이 지난 소주와
썩어버린 내 붉은 심장
한 다리 건너면은 모두가 널 알아
난 티 낼 수도 없어
쓸데없는 기억을 안주 삼아
잘근잘근 씹고 있는 난 야만인
과호흡이 온다 멈출 수가 없다
널 미워할수록 쪼잔한 놈이 돼
요즘 너무 심해 Up &amp; Down
이제 가로세로 앞뒤까지
정말 미춰버리겠어
정신 차린다 싶다 가도
정말 미춰버리겠어
이랬다가 또 저랬다 하네
역시 난 미친놈인가
차 안에선 선호하지 창문 맨 앞자리
밖에 웃고 있는 사람 나아졌나 세상살이
나는 멀미에 시달려 너무 빠른 이별 과정
벼락치기 하다 머리가 노래졌다
귀밑엔 키미테
이미 내 인생은 이미테이션
뾰족한 수가 없어 풍선은 더 커질 거야
걱정 말아 이리저리 치이다가 터질 거야
요즘따라 너무 심해 Up &amp; Down
이제 가로세로 앞뒤까지
너무 심하군 멀미가
이제 어디로 가야 해 
정말 미춰버리겠어
정신 차린다 싶다 가도
정말 미춰버리겠어
이랬다가 또 저랬다 하네
역시 난 미친놈인가
미추어버리겠어
우리 추억 다 버릴 때도
힘주고 난 버티겠어
이윽고 난 멋지겠어"
담아,SINCE,"말 좀 그만 걸어 난 바빠
시간은 money 그래 난 돈 앞에서는 나빠
놓친 거 없이 챙기느라 숨이 좀 가빠
그동안 찾아 헤맨 만큼 담아가 싹 다
어서 한가득 전부 다 담아
한가득 전부 다 담아
한가득 전부 다 담아
한가득 전부 다 담아
no 시간이 없지 용건만 간단히 빨리
go 얼 타다간 놓치는 건 이미 다 아는 사실
노 젓다가 부러진 다니 걱정 말길
이가 없음 잇몸으로 알지
말했듯이 내 팔다린 달인
밥 먹듯이 해 당직
기회 잡기 위한 방식
이만기의 장딴지
처럼 단련해왔지
돈을 부르지 허밍
내 삶을 입혀서 더빙
쌓여가는 일더미
돈이 되면 다 건져 파밍
여유부리는 놈들 아마도
제대로 몰라 원리
문이 열릴 때까지
두드려야지 가만히
있음 머저리
종일 대가리 굴려
봤자 땅에서 안 나와
money 일어나 early
멀미 날 때까지 움직여 hurry
말 좀 그만 걸어 난 바빠
시간은 money 그래 난 돈 앞에서는 나빠
놓친 거 없이 챙기느라 숨이 좀 가빠
그동안 찾아 헤맨 만큼 담아가 싹 다
어서 한가득 전부 다 담아
한가득 전부 다 담아
한가득 전부 다 담아
한가득 전부 다 담아
내 욕심은 고질병
답답할 때마다 질러
더 벌기 위한 빌드업
다 써버리지 일부러
돌아가지 않아 뒤로
앞으로만 계속 쭉 밀어
꽤 잘 다져왔지 내 1년
될 때까지 해 대기업
yeah let's go
움직여 tight
안 가려 night
365 허슬하지 my life
시선은 top
못 말리는 type
ready to die
이게 내 답 right
난 더 원해
더 많은 것들 손에
담기 전까진 절대로
멈추지 않아 원래
난 더 원해
더 많은 것들 손에
담기 전까진 절대로
멈추지 않아 원래
말 좀 그만 걸어 난 바빠
시간은 money 그래 난 돈 앞에서는 나빠
놓친 거 없이 챙기느라 숨이 좀 가빠
그동안 찾아 헤맨 만큼 담아가 싹 다
어서 한가득 전부 다 담아
한가득 전부 다 담아
한가득 전부 다 담아
한가득 전부 다 담아"
내놔,키츠요지 (kitsyojii),"니들이 가지고 있던 것 숨기고 있던 것 싹 다 내놔
실력도 없는 녀석들 다 제 발 저릴 때 난 외쳤어 제발
Please god 난 빌었지 내가 한 만큼 이뤄지길
날 내려쳐대고 무시로 쥐어 팬 거 전치 10년 내놔 깽값
니들이 가지고 있던 것 숨기고 있던 것 싹 다 내놔
실력도 없는 녀석들 다 제 발 저릴 때 난 외쳤어 제발
Please god 난 빌었지 내가 한 만큼 이뤄지길
날 내려쳐대고 무시로 쥐어 팬 거 전치 10년 내놔 깽값
니들이 가지고 있던 것 숨기고 있던 것 싹 다 내놔
돈이랑 명예랑 전부 너희 소유인 줄 알던 게 사실은 렌탈
Please god 난 빌었지 내가 한 만큼 이뤄지길
날 내려쳐대고 무시로 쥐어 팬 거 전치 10년 내놔 깽값
눈에는 보이나 잡히지 않던 너희 유리천장 깨고 그 위로
래퍼란 놈들이 트롯해 나훈아 쌤 노래 마냥 날 그저 무시로
일관했었으나 상황은 바뀌었어 드릴 안 해도 씬에 한 자리 팠어
명절마다 종일 연에 이름 써 띄우는 연습 끝에 드디어 이름 좀 날려
딱 봐도 말랑해 빠진 녀석이 목 놓아 외치는 그 놈의 거리
틀린 말도 아니지 VOD 왜 봐 국힙 판에 상영 중이야 비열한 거리
그저 다 business 세부 사항은 기밀 난 알아버렸어 그 사업의 비밀 uh
깨달은 것도 있지 겸손 필요 없어 고개 안 숙여 이제 내 벼는 안 익지 uh
내가 압살해 여기 대부분 적수가 몇이 없어
두려웠었나봐 래퍼들 yeah 여태 날 업신여겼어
더 이상 못 참아 아니 나 안 참아 찾아내 내가 원하던 거
너희 뺏길까 봐 숨겨왔던 거 그 명예와 내놔 더 많은 돈
니들이 가지고 있던 것 숨기고 있던 것 싹 다 내놔
실력도 없는 녀석들 다 제 발 저릴 때 난 외쳤어 제발
Please god 난 빌었지 내가 한 만큼 이뤄지길
날 내려쳐대고 무시로 쥐어 팬 거 전치 10년 내놔 깽값
니들이 가지고 있던 것 숨기고 있던 것 싹 다 내놔
돈이랑 명예랑 전부 너희 소유인 줄 알던 게 사실은 렌탈
Please god 난 빌었지 내가 한 만큼 이뤄지길
날 내려쳐대고 무시로 쥐어 팬 거 전치 10년 내놔 깽값
솔직히 말할게 haters 나 너희 갖기를 원했어
반가워 나 좀 더 패 줘 원 투 훅 키보드 위 오른손 왼손
날 더 패려구 들어 앨범을 별점 테러를 빵점 매겨두 악플 새겨두
정산되거든 숫자가 나의 정신과 주치의 멘탈 붕괴 공황 전에 친히 약을 챙겨주지 whoo
비웃었지 너흰 나의 도전을 안 될거라 말했었지 내가 세운 목표들
그래 실제로 실패를 거듭했어 몇 번을 그 때마다 더욱 강해지던 온갖 조롱들
아이러니 해 나는 아직 왜 죽지 않고 살아 되려 강해지지 왜
그건 사실 니네가 내 충전기기에 꽂아 내 밑에 저전력 모드가 웬 말 풀 파워 유지해
이제 잡설을 각설 걍 다 갖다 놔 딴 데다 바치던 respect 말야
그건 어쩌면 돈이고 어쩌면 명예고 몰라 임마 어쨌든 실세는 나야
내 팬이 되어 준다면 너까지 최고로 만들어 기필코
그리 되면 나 그토록 찾아 헤매던 걸 드디어 가질 수 있어
니들이 가지고 있던 것 숨기고 있던 것 싹 다 내놔
실력도 없는 녀석들 다 제 발 저릴 때 난 외쳤어 제발
Please god 난 빌었지 내가 한 만큼 이뤄지길
날 내려쳐대고 무시로 쥐어 팬 거 전치 10년 내놔 깽값
니들이 가지고 있던 것 숨기고 있던 것 싹 다 내놔
돈이랑 명예랑 전부 너희 소유인 줄 알던 게 사실은 렌탈
Please god 난 빌었지 내가 한 만큼 이뤄지길
날 내려쳐대고 무시로 쥐어 팬 거 전치 10년 내놔 깽값"
SUSPECT,Bruno Champman (브루노 챔프맨),"Come take this 의심은 갈수록 커져
You blame it on
Come take this 망설일 필욘 없지
Now We Set It All
Come Take This 깨져버린 신뢰에
또 다음이란 미래는
Come Take This 망설일 필욘 없지
Now We Set It All
돌아보기엔 너무 늦었잖아
이젠 나도 모르겠어 대체 우린 어디로
의심과 배신의 연속에
멍청하게 믿었던 내 머릿속은 어지러워
시끄러운 것들 더는 못 참겠어
싹 다 한 데 모아놓고 다같이 Burn It Up
이제 끝을 봐야겠어
혼자서 환상에 사로잡혀 돌아왔네 멀리도
다시 일어서는 법 그리고 다시 걷는 법
반복했던 모든 것들을 더 빠르게, Buckle Up
경쟁에서도 득이 되면 Can Be Butler
천부적 아부들에 몇몇은 허우적 (HMMM)
당연히 단물 다 빼먹고 버리는 게 그들의 방식
나를 적으로 간주하네
잘못된 선택으로 떠들던 놈들 다 서둘러
Must Be Your Problem
I'll Be Your Problem 정답 없이 Uh Uh
다시 지껄여봐 내 값어치 Uh Whoo
오해는 날카롭지 다 망쳤지 Uh Yuh
사실 이젠 더이상 상관없지 Let's Go
Come Take This 의심은 갈수록 커져
You Blame It On Me?
Come Take This 망설일 필욘 없지
Now We Set It All Free
Come Take This 깨져버린 신뢰에
또 다음이란 미랜 없으니ㅣㅣㅣㅣㅣ
Come Take This 망설일 필욘 없지
Now We Set It All Free
언제까지 질질 끌기만 하겠어
이제는 보이네 종지부
손해뿐인 개같은 정의 파훼법
사적인 감정은 Coming Through
예고도 없는 뒤통수에 밤새고
칼을 갈았다 넌 틀렸어 번지수
그래 난 놓쳤어 정신줄
사라져 버릴 네 이름 내 전리품
정확한 Payback 득실에 대입해
벗어날 방법은 Game Set
맞고 틀리고는 원래 없었다 이 게임엔
처음부터 Make That (Clear)
또렷한 Apex I'm Gonna Take That
과거 Don't Playback (Whoo)
절대로 휘둘리지 마라 내가 내린 결정들이 곧 Save Me
Come Take This 의심은 갈수록 커져
You Blame It On Me?
Come Take This 망설일 필욘 없지
Now We Set It All Free
Come Take This 깨져버린 신뢰에
또 다음이란 미랜 없으니ㅣㅣㅣㅣㅣ
Come Take This 망설일 필욘 없지
Now We Set It All Free
Come Take This 의심은 갈수록 커져
You Blame It On Me?
Come Take This 망설일 필욘 없지
Now We Set It All Free
Come Take This 깨져버린 신뢰에
또 다음이란 미랜 없으니ㅣㅣㅣㅣㅣ
Come Take This 망설일 필욘 없지
Now We Set It All Free"
김달 (KIMDAL),"Bruno Champman (브루노 챔프맨), 브린 (Bryn), 키츠요지 (kitsyojii), SINCE","Uh 조언을 빙자한 잡소리는 자꾸만 앵겨
반대를 위하는 반대들 냅둬
걔들은 원해 Ma Bankrupt
Out Of Control 내 Temper
땡처리도 안 되는 Passion?
도대체 몇 년
안돼란 말에 또 증명을 해내야 했어 um
이제 Don't Look Back
후회에 술래가 된 듯이 숨네
머릴 겨눈 채 타협을 강요해
Russian Roulette Um Yuh
말들은 Bullet
So Many Comments
고집과 설득의 굴레 Huh
결론을 못 내는 것도 내 문제
How To Prove It
Like a def I don’t hear that
Don’t talk to me I don’t reply that
Can’t look back eyes on target
Can’t look back watch me poppin’
외골수 기질로 Giddy Up
반항아 Flow 반미디어
좁힐 수 없는 거리감 With Billion Million
숫자란 내게는 Typical (Fxxk It)
드럼을 또 다시 Rip It Up
인정을 빌미로
오지랖들과의 심리전 Hit Me Up
Yuh
반대를 위한 반대들 다 이리로
이젠 웃기지도 않아 네 말 하나도
개소리들은 내 귀에 안 박아둬
너의 말들이 내 앞길을 막아도
내 힘으로 곧바로 끊고선 다시 go
I go hard 끝에는 곧장
못 가도 어떻게든 하고 말지 도착
겁 많은 새x들은 그냥 떠나
나 혼자서 받아버리겠지 큰 보상
let's go 긴 잠에서 깼어
말로만 하는 놈들 앞에서
움직여버리지 걔네 몇 배속
넌 재수없대도 이걸 해내지 난 계속
ransom 버틴 대가 받기 위해서
한번 더 꽉 쥐어 맨 뒤에서
앞만 보는 chaser
내 선택엔 하나밖에 없어
될 때까지 뱉어
제발 닥쳐 내가 이리 살든 아님 저리 살든지
꿈만 꾸다 굶어 죽는단 너 나한테 한 푼 안 줬지
뭔 놈의 옳은 길만 찾어 너희 전부 차에 달린 내비 같아 yeah
꺼져 핸들은 내가 잡아 내비와 브레이크까지 박살 내
woo yeah I wanna hit huh yeah 사고를 치지
huh yeah if I die huh yeah 안 두렵지
너희 의견에 갇힐 바엔 줄 없이 번지 점프해
분노 조절 장애 내 목숨 걸어 세상에 복수해
지난 날들은 꿈처럼
마치 아무것도 아니었단 듯
너도 알다시피 확실한 건
현실로 데려왔지 꿈꾸던 걸
수많은 밤이
또 수많은 날이
지나고 봤지
내가 원하던 아침
안 나오던 답이
결국엔 내게서 나왔지
반쪽짜리 달이
꽉 채워진 것처럼 내 삶이
밝았지
Man I told you so
말했던 대로
I told you uh
그냥 달렸지 뭐
결정은 끝난 지 오래
실행을 한 지도 오래
봐봐 내가 서 있는 자리
틀렸던 건 누군지 Can you see it?
말 좀 해 봐 어디
모든 게 바뀌지
옳았던 것들까지
이게 삶이라면
두 팔을 다 열고 환영하지
show you what I got counting 5 or 6
don’t worry mama made it finally
your opinion is nothing now I know
yeah yeah yeah"
억 냄새 (Feat. oygli),Nudeboi Seo (누드보이 서),"하나 둘 셋 ye
나 지폐 세여
월에 육십 벌던 놈
억에 냄새 배어
하나 둘 셋 ye
나 지폐 세여
월에 육십 벌던 놈
억에 냄새 배어
올라가도 자센 low low (We Lit)
요행 꺼져 토토 (We Lit)
편히 잠들기를 또또 (We Lit) 
미리 찍어넣길 포토 (We Lit)
버려 버려 버려 버려 비린내들 버려
이젠 보지 않지 눈치 나는 내껄 살아
썩은내가 진동하지 살점들을 도려
버려 버려 버려 버려 비린내들 버려
나는 무식해서 그냥 박아버려 도루코
안된다고 지껄여 또 보여주지 몇 번 더
끝에 가면 내가 이겨 득춘이는 나였고
곤조 있게 지켜냈고 올라가서 맥여 너
하나 둘 셋 ye
나 지폐 세여
월에 육십 벌던 놈
억에 냄새 배어
하나 둘 셋 ye
나 지폐 세여
월에 육십 벌던 놈
억에 냄새 배어
올라가도 자센 low low (We Lit)
요행 꺼져 토토 (We Lit)
편히 잠들기를 또또 (We Lit)
미리 찍어넣길 포토 (We Lit)
하나 둘 셋 
내 노래와 돈과 술 
또 내린 바지 애티튜드 
이 연기는 독가스
너무 높디높아서 난 딴 건 못봐서
멋이나 돈 얘긴데 둘 다 없대서 못 갔어
난 나눠 안 먹어
Hit the stu 
With a 술 
대충 뱉고 녹음
꾸민 거 같지 안 꾸밈 Boomin’
범인 내 노래야 머쓱
섞었어 왔다 갔다 아따 폭음 뻐끔
풀려도 떴어 썼어 쳤어 컸어
하나 둘 셋 ye
나 지폐 세여
월에 육십 벌던 놈
억에 냄새 배어
하나 둘 셋 ye
나 지폐 세여
월에 육십 벌던 놈
억에 냄새 배어
올라가도 자센 low low (We Lit)
요행 꺼져 토토 (We Lit)
편히 잠들기를 또또 (We Lit)
미리 찍어넣길 포토 (We Lit)"
Fucked (Feat. 식케이 (Sik-K)),릴러말즈 (Leellamarz),"너를 떠난 지 하루
난 바로 새로운 노래를 만들었지
너를 떠난 지 이틀
난 반쯤 죽은 채 또 돌아다니지 
Yea yea 
삼일 사일 오일
시간이 지날수록 너의 기억이
하나둘씩 희미해질 줄 알았는데
이제 일주일 지났어
F**k, 난 너가 보고 싶어 (난 너가 보고 싶어)
어딨어? f**k 
혹시 넌 나를 미워해?
I didn’t know what to say 
Still don’t know what to say
이제 와 뭐라 해
널 떠난 건 난데
난 보여 너의 표정이
어이없겠지 넌 me
아니 없어 그런 meaning
아니었다고 그런 의미
난 알고 있어 우리 둘 다
서로 많이 좋아한단 걸 말야
아직 우리 둘 다 
끝까지 해보진 않았잖아
Yea I’m f**ked, f**ked, f**ked, f**ked
F**ked, f**ked, f**ked, f**ked 
F**ked, f**ked, f**ked, f**ked
F**ked, f**ked, f**ked, f**ked
Yea I’m f**ked, f**ked, f**ked, f**ked
F**ked, f**ked, f**ked, f**ked 
F**ked, f**ked, f**ked, f**ked
F**ked
너의 기분은 나쁨 maybe
계속됐지 너의 바쁨 baby
이제 와서 날 바꿈?
내가 왜 맞춤?
다 알게 된 네 마음
I’m like 다음, 다음 b**ch
넌 날 바꿀 수 없어 b**ch, you full of lies
바뀐 척하는 게 싫어, 겉으로만
바뀐 척하는 b**ch, you bye
이별이 쉬워졌어 난
You thought I was f**ked
그 덕분에 I thought I f**ked up
네 척, 그게 문제였어 
없었어 사랑이었던 적
고마워 먼저 못 숨겨줘서 
네 더러운 성격
완전 H** LVL 1000
I leave you girl
미안해 나도 척했어
널 이해하는 척했어
너가 좋아하면 좋겠어서
분명 이게 난 최선이라고 믿었었는데
너가 미웠었는데
너의 노래까지 싫었었는데
너를 만났었지만 남인 것 같지
Cuz I don’t know about you
거기엔 없겠지만 true
왜 이걸 찾고 있는데
네 생각에 한 알 더 pop it
핑계겠지만 you know me
우리 얘기에 대해 너도 잘 알지
친구들은 도움이
너를 떠난지 하루
난 바로 새로운 노래를 만들었지
너를 떠난지 이틀
난 반쯤 죽은 채 또 돌아다니지 
Yea yea
삼일 사일 오일
시간이 지날수록 너의 기억이
하나둘씩 희미해질 줄 알았는데 
이제 일주일 지났어
F**k, 난 너가 보고싶어
어딨어? f**k
혹시 넌 나를 미워해?"
홀씨,아이유,"내가 누울 자린 아마도
한참 더 위로
아니 적당히 미끈한 곳에
뿌리내리긴 싫어
내 뒤로 착착 따라붙어
다 예쁘게 줄지어
난 기어코 하늘에 필래
음, What a tiny leader
아슬아슬히 나는
홀씨 하나 또 다른
길을 향해서
Fly high to bloom
혹시 나의 안부를
묻는 누군가
있거든 전해줘
걔는 홀씨가 됐다구
날 따라, gonna go to win
날 따라, 날아가 꼭대기루
You say '후‘
I may fly
You say '후‘
Then i fly
날 따라, Even without wings
날 따라, 떠올라 공중으루
You say '후‘
I may fly
You say '후'
Then i fly
다 날 볼 수 있게 날아 줄게 한가운데
시력을 위해 꼭 지참해 니 sunglass
올려보면 눈부셔
고소공포 하나도 안 무셔
따가운 태양과 무지 가까운 거리
까지 올라가 난 무심히 내려보리
구름을 골라타
간만에 한바탕
싹 어질러볼까
빙글빙그르 나는
홀씨 하나 가파른
바람을 타고
Fly high to bloom
혹시 나의 안부를
묻는 누군가
있거든 전해줘
걔는 홀씨가 됐다구
날 따라, gonna go to win
날 따라, 날아가 꼭대기루
You say '후‘
I may fly
You say '후‘
Then i fly
날 따라, Even without wings
날 따라, 떠올라 공중으루
You say '후‘
I may fly
You say '후'
Then i fly
앞길이 만만치 않아도
엄살은 뒤로
내 선택이야 늘 그랬듯이
쉬울 확률은 zero
남은 거 탈탈 털어줄게
모두 행운을 빌어
구태여 인사하고 갈래
May god be with ya
See ya"
와이셔츠를 다렸지,"릴러말즈 (Leellamarz), 양홍원","걸어가다가 모르고 바지를 내렸지
혼자서 와이셔츠를 다렸지
보고 싶단 소리도 못하고 새 집에서 너를 기다렸지
나도 알아 시간이 걸리겠지
지금인 것처럼 내 머리에
노란 지폐들이 양손에 있는데 눈물을 흘렸었지
내 앞에 전부 다 새거
가져와 봐 센 거
I’m on new rec
I make a 2nd mixtape 
겪었었던 아픔들을 목소리
몇 마디로 섞었지
S**t the f**k up, b**ch
너도 알고 있잖아 
낮에는 관심 없지
몇 마디로 섞어
S**t the f**k up, b**ch
너도 알고 있잖아
나 쟤네는 관심 없지
걸어가다가 모르고 바지를 내렸지
혼자서 와이셔츠를 다렸지
보고 싶단 소리도 못하고 새 집에서 너를 기다렸지
나도 알아 시간이 걸리겠지
지금인 것처럼 내 머리에
노란 지폐들이 양손에 있는데 눈물을 흘렸었지
난 분명히 잔다고 했는데 해가 떴지
너에게 했지 lie
널 볼 수 있었다면 내려갔지
Fosho, sho, 말 안 하면 모르는 거
너도 잘 알고 있지 
Girl, why you do it to me right now
I’m living in mood
또 하루 종일 반복 baby, isn't it loop?
Give me that loop, then I gotta kill yea
L.O.V.E, I don't feel that 이름이 붙어 입에
또 너가 없이는 난 취해 
서성이기만 해 너가 있을 법한 곳에
Without you, I'm so f**ked up
걸어가다가 모르고 바지를 내렸지
혼자서 와이셔츠를 다렸지
보고 싶단 소리도 못하고 새 집에서 너를 기다렸지
나도 알아 시간이 걸리겠지
지금인 것처럼 내 머리에
노란 지폐들이 양손에 있는데 눈물을 흘렸었지
걸어가다가 모르고 바지를 내렸지
혼자서 와이셔츠를 다렸지
보고 싶단 소리도 못하고 새 집에서 너를 기다렸지
나도 알아 시간이 걸리겠지
지금인 것처럼 내 머리에
노란 지폐들이 양손에 있는데 눈물을 흘렸었지"
K'up,던말릭 (DON MALIK),"내 음악은 젊음을 바친 내 전부
나의 삶, 그 뒤엔 항상 깔려있는 전주
나의 삶, 그 뒤엔 항상 깔려있는 전주
난 지금 역사를 가져와 눈앞에 펼쳐
이건 고전적 방식이자 누락된 전설 
MIC를 건드려 혹 rhyme을 터뜨려 
시작되는 진짜를 알리기 위한 군중 앞의 연설
엉터리 어리버리 덜 익어있던 사춘기 소년이 
싸가지 바가지 힙합바지에 확 꽂혔지
껄렁거리며 거리를 거닐던 내 귀엔 “주정”이 
수업 중에도 숨겨 들어 엎드려 숙였던 두더지
햇빛에 눈이 멀까 무서운 듯이 all night in rhyme 
해가 뜨고 난 뒤에야 잠을 자
복잡하게 꼬인 내 머릿속의 고민은
Flow with the dope beat 풀려버린 고삐
끝이 보이지 않는 길 내딛는 발을 집어삼켜
약해질 땐 노려봐 진흙에서 피어난 걸
기가 막혀 똑같이 피워낸 선인장화
7평 반도 안 되고 해도 안 들던 반지하 방서
힙합이 내 삶 위에 자리 잡기까지 
차디 찬 시야를 뒤에 등한시한 뒤에 
실랑이 한 시와 멜로디로 채워 
그날이 오면 온 거리에 퍼질 playlist
그때가 올 때까지 내 이름은 아직 nameless
'아 에 이 오 우 어' 할 때 기억부터
나에겐 이건 운명이라 생각했지 조금도 
의심 않고 따라 내 구절에 나를 걸어
내가 나의 주인이 돼 보니 또 보이는 게 여럿
힙합 다운 힙합이 뭔지 난 20년째 
거울 앞 선문답 철 지난 지 대체 언젠지도
모를 질문의 답들은 도망가 언제나
아님 질문 바꿀까 ""야, 내가 많이 변했냐?""
I think I'm just losing my love now
이 art form은 대체 누굴 위한 걸까
이 가사가 담긴 앨범 내 돈 모아 처음 산 CD
얘, 자, 이제 네가 해봐 과연 정답일지
모를 발걸음이 낭떠러지처럼 비춰도 
가을 또 겨울 그다음엔 꼭 와, 봄 
너가 날 버려도 내가 널 버려도 
Either you stacking or you balling 벌어둬 
그게 유일한 연결 고리 이건 우리 안의 소리
이젠 우리만의 story는 희미해져 그 자음 모음이 
증거라고 할 건 돈이 전부인 것만 같아 보이니
Go volcano’s hot and you know, who‘s on the mic?
그저 우리는 우리를 부리는 무리라 불리는 
돌뿌리를 뚫을 뿌리를 내리는 것뿐 with a 
두 귀를 두들기는 죽이는 무기로 쏴 pow pow
Is it stupid or not? 
쨌든 소외된 모두 왼발을 한보 앞으로
그다음은 오른발의 차례 눈앞을 향해 
행진, 문인섭의 열정과 패기 
가슴 안엔 열정과 
쨌든 소외된 모두 왼발을 한보 앞으로
그다음은 오른발의 차례 눈앞을 향해
행진, 문인섭의 열정과 패기 
가슴 안엔 열정과 패기
내가 원한 걸 모두들 다 
내가 믿는 것 모든 걸 다
All I want for you to realize
내가 원한 걸 모두들 다 
내가 믿는 것 모든 걸 다
All I want for you to realize"
물음표 두 개 (Feat. 최정윤),칸토,"언제부턴가
뚝딱거려 네 앞에서 자꾸
언제부턴가
예뻐 보여 미친 것만 같음
그래 언제부턴가 
종일 연락을 주고받아
잊고 살던 널 다시 만나고 난 후 
이렇게 하루하루 가까워질 줄 누가 알았을까
아마도 상황극, 성격, 취향 
더 나아가 가치관도 잘 맞아 서 그런가
미안 잘 몰라 mbti는
너도 이럴까? 아냐 이건 미친 짓이야
늦는 답에 톡 방 들락날락 아직이야
질투가 나는 걸까? 그만 말해줘 DPR 
I don’t know
내가 널 좋아하게 된 건지
친구 이상으로
오버해 널 좋아하다고 고백했다
멀어지면 어떡하지?
고민만 한 트럭
하루에도 한 수백 번 
우린 연락해 Wherever
근데 왜 망설여 매번 
Did we really fall in love?
한 발짝 다가서면 한쪽이 또 등을 돌려
마주 본다면 우린 하트가 될 텐데
지금 모양 물음표 두 개
꽁냥꽁냥 거리다 연락 두절 Oh-
너 때문에 난 또 막 속상해지잖아 I don't know
늦은 밤에 전화해 나를 설레게 하고
질투 나서 삐진 모양도 너무 귀여워
넌 왜 사귀잔 말을 안 해 이제는 얘기해
우리 사이는 뭔데
하루에도 한 수백 번 
우린 연락해 Wherever
근데 왜 망설여 매번 
Did we really fall in love?
한 발짝 다가서면 한쪽이 또 등을 돌려
마주 본다면 우린 하트가 될 텐데
지금 모양 물음표 두 개
하루에도 한 수백 번 
우린 연락해 Wherever
근데 왜 망설여 매번 
Did we really fall in love?
한 발짝 다가서면 한쪽이 또 등을 돌려
마주 본다면 우린 하트가 될 텐데
지금 모양 물음표 두 개"
너도 해방,스카이민혁 (Skyminhyuk),"눈에 맺힌 목표 한계치 깨버리고 다음 ROUND 행진
됐어 PLAN B 나 여기 모든 걸 쏟아부어 대지
친구야 내게 포기하란 말을 포기해 신기록 갱신
YEAH 노력의 아이코닉 어디서 댐비노 
과거의 나는 늘 벤치로 이젠 나도 메이저 
프로답게 빼입어 반전을 주는 캐릭터
니 댓글은 DAMEGE 없어 발전하면 되거든
최고의 재미는 말도 안 되는 걸 해내는 것
높이 점프하기 위해 웅크리는 모습 
누구 눈엔 놈팽이로 보였을 
여름밤의 땀방울 이제서야 얻어 해방감을
그래도 자만하고 싶지 않다고 
다치면서 배우는 거래
너무 어린 warrior
하루 종일 struggle forever
맘은 여린 warrior
모든 warrior들 Don't Worry YO
Don't Don't Don't Don't Worry YO
knife와 gun도 PUT IT DOWN
Don't Don't Don't Don't Worry YO
초심으로 돌아가기 궁지로 몰아가지 날
무대 공포증이 돋아날 때 전국투어를 다닌다
겁쟁이는 이겨내는 맛을 모른다지 RIGHT?
한번 뱉은 말은 저버린 적 없어 긍지의 사나이니까
이 랩 쟁인 KHA 올해의 앨범 후보지
2년 전만 해도 예상이나 했겄니
난 날 믿었고 해방이 내 결과 
변방에서부터 서울까지 울려 퍼진 건 
나의 팬들에게 영광으로 돌리고 난 다시 RESET
이 곡은 어쩌면 cliche겠지만 내가 하면 설득력 있기에
너도 해봐 SHOW &amp; PROVE 눈물 속에 헤엄치는 꿈과 
청춘들의 숨 다 들어마신 후 뱉어 살아가는 이유를
다치면서 배우는 거래
너무 어린 warrior
하루 종일 struggle forever
맘은 여린 warrior
모든 warrior들 Don't Worry YO
Don't Don't Don't Don't Worry YO
knife와 gun도 PUT IT DOWN
Don't Don't Don't Don't Worry YO
knife와 gun 대신 rhyme과 flow로 세상을 바꿀래 
누가 뭐라고 해도 난 목숨을 걸고 말지 내 작품에
될 거야 star 10년 동안 
변하지 않은 맘 쉽게 물러날
새끼로 봤다면 봐 누가 패배자인지?
갈 거야 난 두려움 속으로 다이빙 
못난 아들인 것 같을 때
친구가 밑으로 깔아볼 때
절대로 포기하지 말기로 
쉽진 않겠지만 해방의 날에 만나
다치면서 배우는 거래
너무 어린 warrior
하루 종일 struggle forever
맘은 여린 warrior
모든 warrior들 Don't Worry YO
Don't Don't Don't Don't Worry YO
knife와 gun도 PUT IT DOWN
Don't Don't Don't Don't Worry YO
치면서 배우는 거래
너무 어린 warrior
하루 종일 struggle forever
맘은 여린 warrior
모든 warrior들 Don't Worry YO
Don't Don't Don't Don't Worry YO
knife와 gun도 PUT IT DOWN
Don't Don't Don't Don't Worry YO"
